PID	Status	Label
-	0	com.apple.storedownloadd.daemon
106	0	com.apple.coreservicesd
-	0	com.apple.avbdeviced
-	0	com.apple.FontWorker
292	0	com.apple.cvmsServ
-	0	com.apple.applessdstatistics
-	0	com.apple.storagekitd
-	0	com.apple.hdiejectd
-	0	com.apple.corestorage.corestoraged
-	0	com.apple.wifid
-	0	com.apple.storereceiptinstaller
154	0	com.apple.networkd_privileged
68	0	com.apple.iconservices.iconservicesagent
-	0	com.apple.emond
43	0	com.apple.syslogd
-	0	com.apple.logkextloadsd
-	0	com.apple.bluetoothReporter
203	0	com.apple.WindowServer
-	0	com.apple.NetworkSharing
-	0	com.apple.afpfs_checkafp
-	0	com.apple.var-db-dslocal-backup
80	0	com.apple.securityd
-	0	com.apple.nesessionmanager
-	0	com.apple.auditd
-	71	com.vmware.launchd.vmware
221	0	com.apple.symptomsd
15725	0	com.apple.ocspd
87	0	com.apple.autofsd
44	0	com.apple.UserEventAgent-System
-	0	com.apple.Kerberos.kadmind
-	0	com.apple.preferences.timezone.auto
143	0	com.apple.coresymbolicationd
524	0	com.apple.suhelperd
-	0	com.apple.RFBEventHelper
-	0	com.apple.racoon
-	0	com.apple.IASUtilities.IASCloudConfigHelper
-	0	com.apple.metadata.mds.scan
99	0	com.apple.AirPlayXPCHelper
-	0	com.apple.RemoteDesktop.PrivilegeProxy
-	0	com.apple.mtmd
-	0	com.apple.mbusertrampoline
950	0	com.apple.system_installd
-	0	com.apple.sysdiagnose
397	0	com.apple.installd
-	0	org.postfix.master
-	0	com.apple.dvdplayback.setregion
207	0	com.apple.nehelper
-	1	com.apple.logd
-	0	com.apple.iBooksX-SecureUserDefaults
368	0	com.apple.tccd.system
-	0	com.apple.appleseed.fbahelperd
-	0	com.apple.IFCStart
928	0	com.apple.softwareupdate_download_service
-	0	com.apple.mdmclient.daemon
150	0	com.apple.ctkd
206	0	com.apple.nsurlsessiond_privileged
174	0	com.apple.awdd
-	0	com.apple.mDNSResponderHelper.reloaded
220	0	com.apple.periodic-monthly
-	0	com.apple.findmymacmessenger
8427	0	com.adobe.ARMDC.Communicator
151	0	com.apple.secinitd
398	0	com.apple.TMCacheDelete
-	0	com.apple.scsid
-	0	com.apple.kuncd
-	0	com.apple.corecaptured
-	0	com.apple.IOAccelMemoryInfoCollector
-	0	com.apple.msrpc.lsarpc
96	0	com.apple.KernelEventAgent
130	0	com.apple.aslmanager
-	0	com.apple.taskgated-helper
-	0	com.apple.cmio.registerassistantservice
-	0	com.apple.RemotePairTool
98	0	com.apple.hidd
46	0	com.apple.kextd
-	0	com.apple.systemstats.analysis
131	0	com.apple.diagnosticd
51	0	com.apple.coreservices.appleevents
53	0	com.apple.powerd
111	0	com.apple.authd
-	0	com.apple.DumpPanic
-	0	com.apple.vsdbutil
-	0	com.apple.nfsd
163	0	com.apple.audio.coreaudiod
201	0	com.apple.akd
60	0	com.apple.airportd
182	-43	com.apple.watchdogd
-	0	com.apple.pfd
-	0	com.apple.NetworkDiagnostics
67	0	com.apple.iconservices.iconservicesd
-	0	com.apple.systemkeychain
-	0	com.apple.nlcd
-	0	com.apple.SCHelper
273	0	com.apple.periodic-weekly
536	0	com.apple.netbiosd
-	0	org.cups.cupsd
-	0	com.apple.statd.notify
-	0	com.apple.rootless.init
-	0	com.apple.preferences.timezone.admintool
537	0	com.apple.nsurlstoraged
-	0	com.apple.installer.osmessagetracing
549	0	com.apple.noticeboard.state
204	0	com.apple.metadata.mds.index
199	0	com.apple.lsd
2398	0	com.apple.usbmuxd
-	0	com.apple.IOBluetoothUSBDFU
463	0	com.apple.CrashReporterSupportHelper
-	0	com.apple.security.authhost.00000000-0000-0000-0000-0000000186A7
-	0	com.apple.DumpGPURestart
-	0	com.apple.displaypolicyd
86	0	com.apple.blued
-	0	org.postfix.newaliases
-	0	com.openssh.sshd
345	0	com.apple.securityd_service
219	0	com.apple.periodic-daily
95	0	com.apple.logind
-	0	com.apple.dspluginhelperd
-	0	com.apple.msrpc.netlogon
-	0	com.apple.CoreRAID
-	0	com.apple.TrustEvaluationAgent.system
-	0	com.apple.newsyslog
218	0	com.apple.cache_delete
141	0	com.apple.taskgated
-	0	com.apple.MRTd
-	0	com.apple.GSSCred
363	0	com.apple.audio.systemsoundserverd
52	0	com.apple.configd
342	0	com.apple.AccountPolicyHelper
-	0	com.apple.fontmover
-	0	com.apple.UserNotificationCenter
-	0	com.google.keystone.daemon
189	0	com.apple.icloud.findmydeviced
-	0	com.apple.speech.speechsynthesisd
-	0	com.apple.rpcbind
153	0	com.apple.networkd
71	0	com.apple.coreduetd
-	0	com.apple.airplaydiagnostics.server.mac
72	0	com.apple.wdhelper
-	0	com.apple.ucupdate.plist
-	0	com.apple.ManagedClient.enroll
-	0	com.apple.DesktopServicesHelper
82	0	com.apple.locationd
-	0	com.apple.Kerberos.kcm
378	0	com.apple.coreservices.sharedfilelistd
94	0	com.apple.loginwindow
-	0	com.apple.efilogin-helper
-	0	com.apple.cmio.iOSScreenCaptureAssistant
101	0	com.apple.notifyd
-	0	com.apple.ReportPanicService
-	0	com.apple.Kerberos.digest-service
47	0	com.apple.fseventsd
-	0	com.apple.automountd
-	0	com.vix.cron
-	0	com.apple.thermald
388	0	com.apple.FileCoordination
-	0	com.apple.eapolcfg_auth
-	0	com.apple.coreservices.appleid.passwordcheck
946	0	com.apple.AssetCacheLocatorService
523	0	com.apple.softwareupdated
1015	0	com.apple.systemadministration.writeconfig
521	0	com.apple.SubmitDiagInfo
-	0	com.apple.emond.aslmanager
-	0	com.apple.mbsystemadministration
-	0	com.apple.msrpc.mdssvc
-	0	com.apple.dpd
-	0	com.apple.cmio.AppleCameraAssistant
-	0	com.apple.corestorage.corestoragehelperd
-	0	com.apple.trustd
-	0	com.apple.ReportCrash.Root
